Student ID,Name,Branch,Semester,Courses taken,CGPA,Preferences,Courses_taken_ids
34,Student_34,ECE,4,6,7.13,AI,10B11EC514;10B11PD511;10B1NPD734;10B11CI612;14B1NCI833;10B11CI512
35,Student_35,ECE,5,6,6.79,IoT,10B1NCI831;10B17EC574;11B1NCI831;13B1NCI831;12B1NHS831;10B17CI672
36,Student_36,CSE,2,4,7.47,Data Science,10B19CI791;13B1NCI831;10B11CI612;14B1NCI831
37,Student_37,ECE,8,7,7.83,Data Science,14B1NCI831;10B13PD832;10B11CI612;14B1NCI834;10B17CI672;10B19CI891;13B1NCI832
38,Student_38,CSE,5,5,7.88,Robotics,10B11PD611;10B19CI791;10B1NPD733;10B17CI673;10B11CI513
39,Student_39,CSE,5,6,5.82,Cybersecurity,10B11CI613;10B19CI591;10B17CI572;10B17CI671;13B1NCI834;14B1NCI833
40,Student_40,CSE,6,4,6.66,ML,14B1NCI833;10B13PD832;10B19GE698;10B1NCI835
41,Student_41,CSE,5,1,8.43,AI,13B1NCI832
42,Student_42,CSE,5,6,8.07,Cybersecurity,14B1NCI833;10B11CI513;10B17CI672;14B1NCI731;11B1NCI731;10B11PD511
43,Student_43,ECE,3,10,5.35,Cybersecurity,10B11CI513;10B1NPD732;10B13PD831;10B11PH611;10B13CI834;10B11CI512;10B17EC574;10B17CI672;10B11CI611;11B1NCI831
44,Student_44,ECE,5,8,7.42,Robotics,10B11CI612;10B17EC574;10B19GE698;10B11CI611;10B1NPD733;10B11CI513;14B1NCI833;10B13PD831
45,Student_45,ECE,8,6,5,AI,10B19CI891;10B11CI512;10B17CI673;10B17EC574;14B1NCI833;10B13PD832
46,Student_46,ECE,7,5,7.06,Data Science,10B11CI513;13B1NCI831;14B1NCI834;10B17CI571;10B11EC514
47,Student_47,ECE,8,6,9.28,ML,10B1NPD734;10B11PD611;10B1NCI736;10B11PD511;10B11CI513;10B19CI791
48,Student_48,CSE,3,7,5.86,Data Science,10B17EC574;13B1NCI834;11B1NCI831;10B19CI691;10B19CI891;10B17CI672;10B17CI572
49,Student_49,ECE,3,4,6,Cybersecurity,10B13PD831;10B11PD611;11B1NCI831;12B1NHS831
50,Student_50,ECE,4,8,7.92,ML,10B11PH611;10B13PD832;10B2NCI853;13B1NHS831;10B19CI691;10B13PD831;10B11CI511;10B1NCI733
51,Student_51,CSE,5,7,5.15,IoT,10B17CI673;13B1NCI831;13B1NCI832;10B11CI612;14B1NCI833;10B1NCI835;14B1NCI731
52,Student_52,ECE,7,7,6.24,Cybersecurity,10B13CI834;10B11EC514;13B1NCI831;10B17CI571;10B17EC574;10B1NCI831;10B19CI691
53,Student_53,CSE,1,7,7.72,Data Science,10B13PD832;11B1NCI731;11B1NCI831;10B11CI611;10B19CI891;10B19CI591;14B1NCI832
54,Student_54,ECE,8,6,6.24,Data Science,11B1NCI831;11B1NCI731;10B19CI691;13B1NCI831;13B1NCI832;14B1NCI832
55,Student_55,CSE,4,7,6.72,Robotics,10B17CI572;10B1NCI835;10B1NPD734;10B1NCI837;13B1NCI831;10B17EC574;12B2NCI752
56,Student_56,ECE,4,7,7.89,Data Science,10B1NPD734;10B1NCI835;12B2NCI752;10B17CI572;10B11CI513;10B1NPD733;10B28CI581
57,Student_57,ECE,2,5,7.51,AI,10B1NPD735;10B1NCI837;13B11NHS731;10B13PD832;10B11EC514
58,Student_58,CSE,1,5,7.32,Cybersecurity,10B11CI611;13B1NCI834;10B13PD832;11B1NCI831;10B1NCI731
59,Student_59,CSE,6,6,6.59,ML,10B11CI513;14B1NCI831;10B17CI672;14B1NCI731;10B11CI511;10B1NCI831
60,Student_60,CSE,5,9,7.44,Data Science,10B11PD511;10B17CI672;14B1NCI833;10B11PD611;13B11NHS731;10B1NCI831;10B17CI673;10B17CI671;10B11CI613
61,Student_61,CSE,2,4,6.85,Robotics,10B11CI511;10B1NCI731;10B19CI791;10B17EC574
62,Student_62,CSE,2,3,7.55,Robotics,13B1NCI834;10B19CI891;10B1NCI831
63,Student_63,CSE,4,6,6.4,Data Science,10B1NCI835;10B19GE698;14B1NCI835;13B1NCI831;10B13PD831;10B11CI612
64,Student_64,CSE,8,6,6.78,AI,10B11PD611;10B1NCI731;12B2NCI752;13B1NCI831;10B17CI571;10B19CI891
65,Student_65,CSE,4,6,5.81,Robotics,10B17CI672;14B1NCI832;10B11PH611;10B19CI791;10B19CI591;10B13PD831
66,Student_66,ECE,1,6,6.96,ML,13B1NCI832;10B17CI571;10B11CI512;10B11CI511;12B1NHS831;10B19CI891
67,Student_67,ECE,4,6,6.03,Cybersecurity,10B19CI791;10B1NCI835;10B2NCI853;10B13PD831;10B1NCI837;14B1NCI833
68,Student_68,CSE,4,9,5.66,IoT,10B13PD831;11B1NCI831;10B11PH611;13B1NCI832;13B1NCI831;10B11CI613;10B1NCI736;10B1NPD733;10B19CI591
69,Student_69,ECE,1,3,7.31,AI,10B11CI513;10B19CI891;10B1NCI837
70,Student_70,ECE,4,4,7.26,Robotics,10B1NPD733;10B1NPD735;10B13CI834;10B1NCI731
71,Student_71,ECE,4,6,7.94,Cybersecurity,14B1NCI832;10B1NCI831;10B13CI834;10B13PD832;10B11CI613;13B1NCI831
72,Student_72,ECE,6,3,6.48,IoT,10B19CI591;10B1NPD733;14B1NCI833
73,Student_73,CSE,8,6,7.49,Data Science,12B1NHS831;10B13PD831;14B1NCI831;13B1NHS831;10B19CI791;10B13PD832
74,Student_74,ECE,7,9,7.66,Data Science,11B1NCI831;10B19CI591;10B1NCI731;13B11NHS731;10B17CI571;10B11CI611;13B1NCI831;10B1NPD734;10B17CI672
75,Student_75,CSE,4,6,7.53,ML,10B11CI512;10B17EC574;14B1NCI835;10B11CI511;12B1NHS831;11B1NCI731
76,Student_76,ECE,2,6,6.01,IoT,10B2NCI853;10B28CI581;10B1NCI731;10B1NPD732;10B19CI891;10B1NCI837
77,Student_77,ECE,8,3,7.18,Data Science,10B11PH611;10B1NCI835;10B1NCI831
78,Student_78,ECE,5,5,7.44,Data Science,10B11CI613;10B1NPD732;14B1NCI834;10B17CI672;10B11CI611
79,Student_79,CSE,5,5,7.01,Robotics,14B1NCI833;10B1NCI837;10B1NPD732;10B11PH611;10B1NPD735
80,Student_80,ECE,4,5,5,ML,10B11CI611;10B17CI672;14B1NCI832;13B1NCI831;10B19CI791
81,Student_81,CSE,5,9,7.19,Cybersecurity,14B1NCI834;10B11CI612;13B11NHS731;10B17CI672;10B1NPD733;10B1NCI831;14B1NCI832;11B1NCI731;10B1NPD735
82,Student_82,ECE,4,7,9.66,Data Science,10B2NCI853;10B11CI611;10B11CI512;12B2NCI752;10B17CI572;14B1NCI731;10B28CI581
83,Student_83,CSE,3,4,6.57,AI,11B1NCI831;10B1NPD733;14B1NCI834;10B11CI511
84,Student_84,ECE,3,6,6.13,AI,10B13PD832;10B13CI834;10B11PH611;10B2NCI853;10B28CI581;10B17CI671
85,Student_85,CSE,4,7,7.45,Cybersecurity,10B1NPD735;11B1NCI831;10B1NCI835;10B11CI612;10B17EC574;13B1NCI834;10B13PD832
86,Student_86,CSE,3,8,7.37,IoT,10B17EC574;10B13CI834;10B17CI672;10B19CI891;10B1NCI835;14B1NCI832;14B1NCI731;10B11PD511
87,Student_87,ECE,3,9,8.43,ML,10B1NCI731;14B1NCI731;10B28CI581;10B2NCI853;13B1NCI831;10B1NPD734;13B1NCI834;10B1NCI837;10B11CI612
88,Student_88,CSE,5,4,5.49,Robotics,10B1NPD735;14B1NCI835;10B11PH611;10B1NPD733
89,Student_89,ECE,4,4,7.88,AI,10B11CI512;13B1NCI834;10B19GE698;14B1NCI832
90,Student_90,ECE,8,3,7.71,AI,10B11CI613;12B2NCI752;10B1NCI733
91,Student_91,ECE,1,6,6.83,Cybersecurity,10B17CI572;10B13PD831;10B17CI672;10B13CI834;14B1NCI833;10B11CI612
92,Student_92,ECE,7,7,7.41,IoT,10B1NCI733;10B11CI612;10B11PD511;10B1NCI731;11B1NCI831;10B1NCI837;11B1NCI731
93,Student_93,ECE,7,8,8.24,IoT,10B19CI591;13B1NHS831;10B13PD831;10B17CI671;10B1NCI837;13B1NCI831;10B13PD832;10B17CI673
94,Student_94,ECE,1,6,8.05,Cybersecurity,10B11PD511;10B11EC514;10B17CI673;10B17CI672;10B2NCI853;10B11PD611
95,Student_95,ECE,4,5,5.63,AI,13B11NHS731;10B11CI612;10B1NPD735;10B1NPD732;10B11EC514
96,Student_96,ECE,4,6,7.98,ML,10B19CI891;10B11CI613;10B1NPD733;10B17CI673;10B11PD511;13B1NCI831
97,Student_97,ECE,2,4,6.92,AI,10B1NCI731;13B1NCI834;10B17CI672;10B1NPD732
98,Student_98,ECE,3,10,7.09,IoT,10B11CI511;10B13PD832;11B1NCI831;10B11PD511;13B11NHS731;14B1NCI835;10B11CI612;10B1NPD733;10B1NCI736;12B1NHS831
99,Student_99,ECE,2,3,7.09,Robotics,10B13PD831;10B17CI572;10B13PD832
100,Student_100,CSE,8,6,6.82,AI,10B1NCI835;14B1NCI832;14B1NCI834;10B19CI691;13B11NHS731;10B19CI791
101,Student_101,CSE,6,10,8.43,ML,14B1NCI832;10B19GE698;10B11CI511;10B13PD831;10B11CI612;10B1NPD733;10B1NPD735;10B13PD832;10B11EC514;12B1NHS831
102,Student_102,ECE,7,6,6.9,Data Science,10B1NCI736;10B11CI611;13B1NCI834;10B1NCI835;10B17EC574;14B1NCI831
103,Student_103,ECE,6,6,5.66,AI,10B17CI671;12B1NHS831;10B1NCI736;10B1NCI731;10B1NPD735;13B11NHS731
104,Student_104,ECE,2,5,6.53,Cybersecurity,10B19CI791;10B13PD832;10B1NPD733;13B1NCI834;10B19CI691
105,Student_105,ECE,3,6,7.21,Data Science,10B19CI891;14B1NCI731;13B1NCI834;10B11PD511;10B1NCI831;10B17CI673
106,Student_106,ECE,5,9,8.48,Cybersecurity,10B11PD611;10B13PD832;14B1NCI731;10B17CI672;10B11PD511;14B1NCI834;14B1NCI833;10B1NCI835;10B1NCI736
107,Student_107,ECE,2,2,7.72,Cybersecurity,10B2NCI853;14B1NCI833
108,Student_108,ECE,6,9,5.98,Cybersecurity,10B13PD832;13B11NHS731;10B1NPD735;10B1NPD734;10B1NCI831;10B19CI891;14B1NCI831;10B17CI672;14B1NCI832
109,Student_109,ECE,4,3,9.98,AI,10B1NCI731;12B1NHS831;13B1NCI831
110,Student_110,CSE,4,5,7.32,IoT,13B1NCI834;14B1NCI831;10B11PD611;10B17CI673;14B1NCI833
111,Student_111,ECE,6,5,8.53,Data Science,11B1NCI831;10B17CI673;13B1NCI831;14B1NCI834;10B19CI691
112,Student_112,CSE,5,7,6.82,ML,10B13PD831;11B1NCI731;14B1NCI831;10B19CI791;10B1NCI835;10B1NCI733;14B1NCI833
113,Student_113,ECE,4,3,7.64,IoT,11B1NCI731;14B1NCI835;10B17EC574
114,Student_114,ECE,7,7,8.01,AI,10B19GE698;10B11PD611;10B1NCI837;10B1NCI733;10B17CI673;10B1NPD732;13B1NCI831
115,Student_115,CSE,2,10,8.46,Cybersecurity,10B11CI611;10B1NPD734;10B13PD832;14B1NCI833;10B1NCI835;10B13CI834;10B1NCI733;10B11PD611;12B1NHS831;10B19CI691
116,Student_116,ECE,6,3,8.27,ML,10B19CI891;12B1NHS831;10B2NCI853
117,Student_117,CSE,6,6,8.05,Data Science,10B11PD611;10B17CI671;10B1NCI736;10B17CI572;13B1NCI832;13B11NHS731
118,Student_118,ECE,4,5,6.62,IoT,10B11CI611;14B1NCI731;10B17CI672;14B1NCI831;10B11CI513
119,Student_119,ECE,5,7,6.31,Robotics,14B1NCI834;10B13CI834;10B11CI612;14B1NCI832;10B1NCI733;10B17CI671;10B2NCI853
120,Student_120,CSE,2,6,7.4,IoT,14B1NCI835;10B11CI512;13B1NCI832;11B1NCI731;14B1NCI731;12B1NHS831
121,Student_121,ECE,6,5,8.12,ML,10B19CI891;10B19CI791;10B17CI672;10B17CI571;10B11PD611
122,Student_122,CSE,4,7,6.73,AI,14B1NCI832;10B1NCI835;14B1NCI731;10B17EC574;10B1NPD734;10B11CI611;13B1NHS831
123,Student_123,ECE,3,10,8.28,Data Science,10B17CI572;10B19CI791;10B11CI612;10B1NCI837;10B17EC574;10B1NCI736;10B1NCI733;10B1NPD735;10B19CI891;10B13PD831
124,Student_124,CSE,7,6,8.74,ML,14B1NCI833;10B11CI511;10B19CI691;11B1NCI731;10B11CI513;10B17CI572
125,Student_125,CSE,3,7,5.9,Cybersecurity,12B1NHS831;10B1NCI736;10B17CI572;10B1NCI831;14B1NCI831;12B2NCI752;10B19GE698
126,Student_126,ECE,2,3,6,Data Science,10B19CI591;10B1NPD732;13B1NCI832
127,Student_127,ECE,1,4,6.83,IoT,10B11EC514;10B11CI513;11B1NCI731;10B28CI581
128,Student_128,CSE,6,7,7.37,ML,10B11CI611;13B1NCI831;10B11CI612;14B1NCI835;12B2NCI752;10B17CI571;10B1NPD732
129,Student_129,ECE,2,9,6.37,IoT,10B1NCI835;10B1NCI831;10B11PH611;10B13PD831;14B1NCI832;10B1NPD732;10B1NCI733;10B1NCI736;10B17CI572
130,Student_130,ECE,8,7,8.62,IoT,10B11EC514;10B1NPD732;10B11PD611;10B1NCI731;13B1NHS831;10B19CI591;10B1NPD734
131,Student_131,ECE,1,5,7.51,IoT,10B17CI672;10B19CI591;10B11CI612;10B11PD611;13B1NCI831
132,Student_132,CSE,8,6,7.05,AI,10B11PH611;10B11PD611;10B11CI513;10B17CI572;14B1NCI833;10B19CI691
133,Student_133,CSE,5,3,5.28,IoT,14B1NCI831;10B11PD611;10B17CI671
134,Student_134,CSE,4,7,5.42,Cybersecurity,10B11CI511;10B11CI513;10B19GE698;10B1NPD735;10B1NCI837;10B11PH611;11B1NCI831
135,Student_135,CSE,3,8,7.34,Cybersecurity,14B1NCI831;10B1NCI733;10B17EC574;10B1NPD734;13B1NHS831;10B1NCI835;10B19CI791;10B19CI891
136,Student_136,CSE,5,5,5,Data Science,14B1NCI731;10B2NCI853;13B1NCI832;13B1NCI834;10B1NCI736
137,Student_137,CSE,4,5,8.22,Robotics,10B19CI691;13B1NCI831;10B11CI511;12B2NCI752;14B1NCI832
138,Student_138,CSE,7,7,6.81,IoT,13B1NCI831;10B1NPD735;10B11CI511;13B1NCI832;14B1NCI834;11B1NCI831;12B1NHS831
139,Student_139,CSE,5,5,10,IoT,10B17CI571;12B1NHS831;14B1NCI831;10B17EC574;13B1NHS831
140,Student_140,CSE,5,6,9.77,ML,14B1NCI831;10B13PD832;10B17CI571;12B1NHS831;10B1NCI835;10B11CI612
141,Student_141,ECE,4,10,6.78,AI,12B1NHS831;10B11PD511;10B11CI612;10B17CI671;10B1NCI837;13B1NCI832;10B1NPD735;10B1NCI835;14B1NCI831;10B1NCI736
142,Student_142,CSE,4,6,6.87,Robotics,10B11PD511;10B17CI671;10B17CI572;10B11CI613;10B11CI611;10B17CI672
143,Student_143,ECE,5,5,8.19,Data Science,10B17CI671;10B13PD832;10B13PD831;14B1NCI731;10B11PD511
144,Student_144,ECE,1,5,9.04,Robotics,14B1NCI833;13B11NHS731;10B11PH611;13B1NHS831;11B1NCI831
145,Student_145,ECE,2,7,5.03,IoT,14B1NCI833;10B11EC514;10B2NCI853;10B13PD831;13B1NCI834;10B11PH611;10B1NCI835
146,Student_146,CSE,6,6,5,ML,10B1NCI837;10B1NPD733;10B17CI571;13B1NHS831;10B11PD611;14B1NCI832
147,Student_147,CSE,5,5,6.25,AI,10B1NCI736;10B11PD511;13B11NHS731;12B1NHS831;14B1NCI832
148,Student_148,CSE,4,9,7.7,Data Science,10B19CI691;13B1NCI832;13B1NCI831;10B13PD831;10B17CI571;10B1NCI731;10B11PH611;10B1NCI831;10B11CI611
149,Student_149,CSE,5,9,7.6,Robotics,11B1NCI831;10B11PD611;13B1NCI834;10B19GE698;14B1NCI831;10B2NCI853;10B1NPD732;14B1NCI835;13B1NHS831
150,Student_150,ECE,5,5,8.28,Data Science,10B28CI581;13B1NCI832;10B13CI834;10B1NPD733;10B11PD611
151,Student_151,CSE,3,2,5.56,IoT,13B1NCI831;10B1NCI831
152,Student_152,CSE,3,8,5,Data Science,14B1NCI832;10B11PD611;10B11CI513;13B1NHS831;10B19CI791;10B17EC574;12B2NCI752;10B17CI671
153,Student_153,CSE,5,5,8.03,ML,12B2NCI752;14B1NCI833;13B1NCI834;10B11EC514;10B28CI581
154,Student_154,CSE,3,8,6.01,Data Science,11B1NCI831;10B11CI612;12B1NHS831;10B19CI691;10B13CI834;14B1NCI832;10B17CI572;10B11CI511
155,Student_155,CSE,5,2,5,Cybersecurity,10B1NPD735;10B11PD611
156,Student_156,ECE,1,8,7.17,ML,13B1NCI834;11B1NCI731;14B1NCI834;10B28CI581;10B19CI591;10B1NCI731;10B11CI511;10B19CI891
157,Student_157,CSE,7,4,7.95,Robotics,10B1NCI831;10B1NCI837;13B1NCI832;14B1NCI832
158,Student_158,ECE,5,7,6.85,AI,14B1NCI731;12B2NCI752;10B11EC514;10B1NCI733;10B17CI673;11B1NCI731;10B1NCI837
159,Student_159,CSE,5,6,6.45,AI,13B11NHS731;10B1NPD734;14B1NCI834;10B2NCI853;10B17CI571;11B1NCI831
160,Student_160,ECE,6,4,6.81,IoT,10B13PD831;14B1NCI831;10B1NCI733;10B13PD832
161,Student_161,CSE,8,5,6.56,IoT,10B1NCI837;10B19CI591;10B11CI613;10B1NCI731;13B1NCI832
162,Student_162,CSE,7,7,5.38,Cybersecurity,13B1NHS831;11B1NCI731;14B1NCI731;10B2NCI853;10B13PD832;10B11CI511;10B11CI613
163,Student_163,ECE,1,6,6.14,Robotics,10B11CI611;10B19CI591;10B1NPD732;10B13PD832;10B11PH611;13B1NCI831
164,Student_164,ECE,2,7,7.63,AI,13B1NCI831;10B11EC514;13B11NHS731;13B1NHS831;10B1NPD735;11B1NCI731;10B17CI572
165,Student_165,ECE,3,10,7.39,AI,10B17CI672;10B11PD611;10B19CI691;14B1NCI833;10B19GE698;10B11PH611;10B11PD511;11B1NCI731;10B11CI511;14B1NCI731
166,Student_166,CSE,5,3,7.2,AI,10B13PD831;10B19CI591;10B17CI571
167,Student_167,ECE,6,9,5.81,AI,13B1NHS831;14B1NCI832;10B1NPD733;10B1NCI736;10B1NCI835;10B11CI612;10B1NPD735;10B17CI571;10B11CI513
168,Student_168,CSE,3,6,6.78,Data Science,10B28CI581;10B1NPD735;10B17EC574;13B11NHS731;10B11CI611;10B11PD611
169,Student_169,CSE,5,4,5,Robotics,10B1NCI835;10B2NCI853;10B11CI612;12B2NCI752
170,Student_170,ECE,3,3,7.21,ML,12B1NHS831;10B11CI512;10B17CI571
171,Student_171,ECE,3,6,8.71,ML,10B17EC574;10B1NCI733;10B11CI513;10B11EC514;14B1NCI835;10B19CI591
172,Student_172,CSE,2,8,5.23,Cybersecurity,10B17CI672;10B28CI581;10B11PH611;10B11CI612;10B1NCI835;10B13CI834;10B1NCI837;10B17CI671
173,Student_173,CSE,3,6,6.3,Data Science,11B1NCI831;13B1NCI832;10B1NCI837;10B13PD831;10B1NCI736;10B17CI571
174,Student_174,ECE,2,9,7.39,AI,10B17CI673;10B11PH611;10B17CI671;10B2NCI853;10B1NCI736;10B1NPD735;10B1NPD733;10B11CI613;10B19CI791
175,Student_175,ECE,3,3,8.5,AI,10B11CI611;10B1NPD733;10B28CI581
176,Student_176,ECE,7,6,6.46,IoT,10B17CI672;10B17CI572;10B11CI613;10B19GE698;13B1NCI832;10B17EC574
177,Student_177,CSE,3,3,6.17,IoT,10B1NCI736;13B11NHS731;10B19CI691
178,Student_178,CSE,8,7,5,Cybersecurity,10B19CI591;10B1NCI731;10B11CI513;13B1NHS831;10B1NCI831;14B1NCI731;11B1NCI831
179,Student_179,CSE,5,8,7.12,AI,10B19CI891;14B1NCI834;14B1NCI835;10B11CI612;10B11CI511;10B11EC514;13B1NCI832;10B19GE698
180,Student_180,CSE,5,5,9.45,Cybersecurity,12B1NHS831;10B11CI612;10B1NPD735;10B17CI572;10B1NCI736
181,Student_181,CSE,3,1,7.33,Data Science,10B1NPD732
182,Student_182,CSE,6,6,6.97,ML,10B1NPD732;10B17CI572;10B1NCI831;13B1NCI832;10B19CI591;13B1NCI834
183,Student_183,ECE,3,7,7.39,AI,10B11EC514;11B1NCI831;10B1NCI733;10B13PD832;10B13CI834;10B1NPD733;12B1NHS831
184,Student_184,CSE,5,7,6.99,Robotics,10B11PH611;10B1NCI731;14B1NCI731;10B13PD831;13B1NCI834;10B11CI612;10B17CI672
185,Student_185,CSE,8,8,6.02,Data Science,11B1NCI831;10B1NPD735;10B13CI834;10B1NCI733;10B2NCI853;10B19CI691;14B1NCI831;12B2NCI752
186,Student_186,CSE,4,4,7.99,AI,10B11CI512;13B1NCI834;10B1NCI736;10B1NCI835
187,Student_187,ECE,7,7,7.27,Robotics,13B1NCI831;10B1NPD732;12B1NHS831;10B28CI581;10B19CI591;10B11CI612;10B1NCI733
188,Student_188,CSE,3,8,7.02,IoT,10B1NPD735;14B1NCI833;10B17EC574;11B1NCI731;10B19CI791;10B19CI691;10B28CI581;13B1NCI831
189,Student_189,CSE,4,2,5.83,Cybersecurity,10B17CI671;13B1NHS831
190,Student_190,ECE,8,7,8.56,IoT,10B1NCI835;10B17CI572;10B1NCI837;10B11EC514;10B1NPD735;10B17CI571;10B1NCI731
191,Student_191,CSE,3,5,7.8,ML,13B1NCI831;10B11EC514;11B1NCI731;10B1NCI831;10B19CI691
192,Student_192,CSE,8,6,6.34,IoT,10B1NCI731;10B13PD832;13B1NCI834;14B1NCI835;10B1NPD733;12B1NHS831
193,Student_193,CSE,6,7,8.2,AI,14B1NCI834;10B1NCI736;10B28CI581;10B19CI591;13B1NCI831;13B1NCI832;11B1NCI731
194,Student_194,CSE,3,5,6.4,Robotics,10B1NPD734;10B19CI791;10B11CI612;10B11CI613;10B1NCI831
195,Student_195,CSE,6,5,6.06,IoT,14B1NCI833;10B11PD511;10B13PD831;10B28CI581;14B1NCI834
196,Student_196,ECE,6,6,6.09,AI,10B17CI673;10B17CI571;10B2NCI853;14B1NCI835;10B11CI511;10B19CI791
197,Student_197,ECE,6,4,5,ML,13B1NCI834;14B1NCI731;10B1NCI736;12B1NHS831
198,Student_198,ECE,1,4,7.57,Robotics,10B11PD511;10B17CI572;10B11CI612;14B1NCI832
199,Student_199,CSE,3,7,5,IoT,14B1NCI835;10B1NPD733;10B13PD832;14B1NCI832;10B1NCI733;10B11CI613;10B1NPD732
200,Student_200,CSE,4,4,5.53,Cybersecurity,10B1NCI835;10B11CI511;10B19CI591;14B1NCI835
201,Student_201,CSE,4,7,5,Cybersecurity,10B28CI581;10B11CI511;10B1NCI733;12B2NCI752;10B13PD832;13B1NCI831;10B1NCI736
202,Student_202,ECE,6,7,6.9,Robotics,10B11PD511;10B1NCI733;10B11CI613;14B1NCI831;10B1NPD733;13B11NHS731;10B11EC514
203,Student_203,CSE,5,3,6.82,Cybersecurity,10B1NPD735;10B1NPD732;10B11PD511
204,Student_204,CSE,2,5,6.61,IoT,10B17CI671;10B11CI612;10B1NPD735;13B1NCI831;10B19GE698
205,Student_205,ECE,5,8,5.75,IoT,14B1NCI831;11B1NCI831;10B1NPD734;10B17CI672;10B2NCI853;10B17CI572;10B1NPD732;14B1NCI833
